representation,condition,replicate,max_score,target_score,target_significant,target_localized,significant_pairs,broad_global_mode
R1,null,1,0.10045557187158939,0.06836441956314782,False,False,0,False
R1,null,2,0.12100649743737925,0.03847178835346234,False,False,0,False
R1,null,3,0.1631684919063524,0.08391692628882735,False,False,0,False
R1,null,4,0.12624669252093887,0.09990811639298508,False,False,0,False
R1,null,5,0.12729850466499207,0.08359274807339527,False,False,0,False
R1,null,6,0.10117889768406413,0.09804137271105504,False,False,0,False
R1,null,7,0.18449067218541418,0.05918881706177647,False,False,1,False
R1,null,8,0.10332881323522074,0.06771954264900183,False,False,0,False
R1,null,9,0.11901990222422397,0.09240904331007846,False,False,0,False
R1,null,10,0.18508716086326568,0.05733436440431202,False,False,2,False
R1,null,11,0.13188388801887685,0.08483249537368195,False,False,0,False
R1,null,12,0.1529609362247711,0.02169558892977811,False,False,0,False
R1,null,13,0.141811713466084,0.07994771763502302,False,False,0,False
R1,null,14,0.16272416427687558,0.08883872141345345,False,False,0,False
R1,null,15,0.13445495436233756,0.08370026008448406,False,False,0,False
R1,null,16,0.1491599925562943,0.087147660012863,False,False,0,False
R1,null,17,0.11429669389531952,0.05802504078570092,False,False,0,False
R1,null,18,0.12189251854942851,0.10318658914580027,False,False,0,False
R1,null,19,0.11519807482284047,0.11519807482284047,False,False,0,False
R1,null,20,0.13735348405294362,0.07515791229184576,False,False,0,False
R1,null,21,0.12000009035064806,0.08230911253407003,False,False,0,False
R1,null,22,0.1069280114323971,0.08155800020805928,False,False,0,False
R1,null,23,0.11082424731099387,0.04083209821867347,False,False,0,False
R1,null,24,0.16170977646234938,0.08229321045393011,False,False,0,False
R1,null,25,0.17836062856447257,0.06118895326702515,False,False,1,False
R1,null,26,0.11366314074503879,0.09074185260532411,False,False,0,False
R1,null,27,0.11043609421087226,0.11043609421087226,False,False,0,False
R1,null,28,0.167030452705706,0.09522022723686606,False,False,0,False
R1,null,29,0.11912172786315947,0.06097002248286401,False,False,0,False
R1,null,30,0.13722933374887902,0.08723604370712099,False,False,0,False
R1,null,31,0.16947891570331564,0.1161605971711464,False,False,1,False
R1,null,32,0.14195718304936145,0.06344183327964502,False,False,0,False
R1,null,33,0.1660034482962262,0.1660034482962262,False,False,0,False
R1,null,34,0.13306736544202646,0.0519626504613782,False,False,0,False
R1,null,35,0.19668813210990463,0.05935594046739796,False,False,1,False
R1,null,36,0.13312967553788527,0.06820691190803703,False,False,0,False
R1,null,37,0.14010414605942467,0.08998680816235773,False,False,0,False
R1,null,38,0.11423734145326102,0.07065643135305372,False,False,0,False
R1,null,39,0.17396179634842715,0.08660049043303696,False,False,1,False
R1,null,40,0.10315771632969638,0.03248491830528181,False,False,0,False
R1,null,41,0.15692029486930534,0.022391308836693567,False,False,0,False
R1,null,42,0.13152418621680567,0.06892758492301965,False,False,0,False
R1,null,43,0.11353323611313706,0.09934162737102421,False,False,0,False
R1,null,44,0.1654787322404161,0.0887831356763883,False,False,0,False
R1,null,45,0.1630960892379831,0.057488728483536075,False,False,0,False
R1,null,46,0.175649648205818,0.09572864003044154,False,False,1,False
R1,null,47,0.15550246500285536,0.07699890561708765,False,False,0,False
R1,null,48,0.15441273153070165,0.08389233189205532,False,False,0,False
R1,null,49,0.12621629770723986,0.09803814089656267,False,False,0,False
R1,null,50,0.13010222604077845,0.05506240050852128,False,False,0,False
R1,null,51,0.12917005655272495,0.10744226124490595,False,False,0,False
R1,null,52,0.12410958606195084,0.04763285808717133,False,False,0,False
R1,null,53,0.1421701637761913,0.06887568187038182,False,False,0,False
R1,null,54,0.14017451230754918,0.12495872438642663,False,False,0,False
R1,null,55,0.16262332779747063,0.05181168041250687,False,False,0,False
R1,null,56,0.10664767948823455,0.0785271163934937,False,False,0,False
R1,null,57,0.14662172551694927,0.08560020010711088,False,False,0,False
R1,null,58,0.1743460116371669,0.04046675708533405,False,False,1,False
R1,null,59,0.1288891624849215,0.05244429761767158,False,False,0,False
R1,null,60,0.1328384427175329,0.09005303919923145,False,False,0,False
R1,null,61,0.09962139215621833,0.0960824566429949,False,False,0,False
R1,null,62,0.12229064572764817,0.08331644590215491,False,False,0,False
R1,null,63,0.13617854012789138,0.09747305040989938,False,False,0,False
R1,null,64,0.1498234172146376,0.052722148099703325,False,False,0,False
R1,null,65,0.1794798527561783,0.1794798527561783,True,True,1,False
R1,null,66,0.13031404380657072,0.12210465446675944,False,False,0,False
R1,null,67,0.11543632712193164,0.07008224752537519,False,False,0,False
R1,null,68,0.14629245475462688,0.05621902804068775,False,False,0,False
R1,null,69,0.1559413394896521,0.04908715510824732,False,False,0,False
R1,null,70,0.14355680953800565,0.07568909203272554,False,False,0,False
R1,null,71,0.13161871851522713,0.13161871851522713,False,False,0,False
R1,null,72,0.1356812424337797,0.10212810421907682,False,False,0,False
R1,null,73,0.11996780924807454,0.0656886599473019,False,False,0,False
R1,null,74,0.11374683956772964,0.06715580661535421,False,False,0,False
R1,null,75,0.11021870391960635,0.0808911154221678,False,False,0,False
R1,null,76,0.17831358886874402,0.07199897036498337,False,False,1,False
R1,null,77,0.14803371443347757,0.04055867387867333,False,False,0,False
R1,null,78,0.1693593532664704,0.06916368904321779,False,False,0,False
R1,null,79,0.123118963728959,0.07494374773758496,False,False,0,False
R1,null,80,0.15397781483835124,0.10539530169507923,False,False,0,False
R1,null,81,0.13872139733348368,0.09708009373604722,False,False,0,False
R1,null,82,0.13064287142030523,0.11134819181200864,False,False,0,False
R1,null,83,0.1134308951239139,0.11121751189894306,False,False,0,False
R1,null,84,0.13293819492631265,0.07968095513206506,False,False,0,False
R1,null,85,0.09224837916502236,0.04187375779240131,False,False,0,False
R1,null,86,0.13631134920958482,0.06646591257199298,False,False,0,False
R1,null,87,0.1092937504706952,0.02475603093942102,False,False,0,False
R1,null,88,0.18608884308000334,0.06688028896047861,False,False,1,False
R1,null,89,0.1287890848524657,0.09435749245998076,False,False,0,False
R1,null,90,0.15212634097467873,0.06812747424689077,False,False,0,False
R1,null,91,0.14567341572010425,0.05939263072456926,False,False,0,False
R1,null,92,0.10859266705533903,0.0672322540121178,False,False,0,False
R1,null,93,0.12003891244203792,0.040434025613429625,False,False,0,False
R1,null,94,0.13802365570494285,0.06535424982017494,False,False,0,False
R1,null,95,0.17119844441521145,0.11082794900508212,False,False,1,False
R1,null,96,0.10131172956644023,0.05303236426375108,False,False,0,False
R1,null,97,0.14086144315836355,0.08610890893354926,False,False,0,False
R1,null,98,0.11640802411561721,0.06530724370372745,False,False,0,False
R1,null,99,0.13709504848695625,0.07328159744310879,False,False,0,False
R1,null,100,0.07393893118578264,0.04392191663829586,False,False,0,False
R1,null,101,0.14368103706690066,0.04836262365196305,False,False,0,False
R1,null,102,0.11505963499071696,0.0594574513121771,False,False,0,False
R1,null,103,0.1575427019084217,0.108008704255805,False,False,0,False
R1,null,104,0.1266123136947465,0.05135423861708977,False,False,0,False
R1,null,105,0.11003936571051041,0.05960601854138455,False,False,0,False
R1,null,106,0.1274461476666504,0.07320835309117107,False,False,0,False
R1,null,107,0.12066347964755716,0.05458895310404493,False,False,0,False
R1,null,108,0.14733848680099879,0.08200779311317635,False,False,0,False
R1,null,109,0.10396219738908953,0.0988111315602756,False,False,0,False
R1,null,110,0.11755181960301783,0.11755181960301783,False,False,0,False
R1,null,111,0.1180034179578937,0.08489838083821928,False,False,0,False
R1,null,112,0.08688556469871754,0.0784814118156287,False,False,0,False
R1,null,113,0.2031722876806218,0.11373834366765886,False,False,1,False
R1,null,114,0.11148599916532148,0.0963576037987873,False,False,0,False
R1,null,115,0.13174453586625803,0.12945062402680516,False,False,0,False
R1,null,116,0.1472339410504416,0.051603521635544214,False,False,0,False
R1,null,117,0.13392107352522348,0.09555544259732887,False,False,0,False
R1,null,118,0.19489427131447976,0.19489427131447976,True,True,1,False
R1,null,119,0.11334542347840654,0.051885732121631674,False,False,0,False
R1,null,120,0.12332443003597292,0.06407322482192108,False,False,0,False
R1,null,121,0.12937986638143356,0.06956952346406704,False,False,0,False
R1,null,122,0.1253139123516516,0.06893175840029654,False,False,0,False
R1,null,123,0.12171169262556077,0.09084908665976044,False,False,0,False
R1,null,124,0.12879621079158884,0.07454241998988266,False,False,0,False
R1,null,125,0.12156522123584636,0.05768864931880097,False,False,0,False
R1,null,126,0.14799646868795385,0.08118818756584979,False,False,0,False
R1,null,127,0.1348101079453994,0.1348101079453994,False,False,0,False
R1,null,128,0.13522295632047926,0.08351833683904218,False,False,0,False
R1,null,129,0.12108964167199074,0.0353185800100353,False,False,0,False
R1,null,130,0.11138040368462945,0.09192619594470548,False,False,0,False
R1,null,131,0.13181710059274002,0.13181710059274002,False,False,0,False
R1,null,132,0.15103827597808073,0.053377630552433684,False,False,0,False
R1,null,133,0.21018912724741007,0.08699897341384462,False,False,1,False
R1,null,134,0.11615846596495316,0.029109922465526083,False,False,0,False
R1,null,135,0.15178887297866692,0.07018108481322202,False,False,0,False
R1,null,136,0.16425720159737006,0.08664692362945044,False,False,0,False
R1,null,137,0.09943313445143141,0.06619448863179268,False,False,0,False
R1,null,138,0.10776329566907937,0.04168146272409674,False,False,0,False
R1,null,139,0.11687421274436234,0.08073409505753058,False,False,0,False
R1,null,140,0.12650729798168417,0.03972045973023633,False,False,0,False
R1,null,141,0.12469218672448636,0.09759448623509953,False,False,0,False
R1,null,142,0.12880710006042603,0.12880710006042603,False,False,0,False
R1,null,143,0.153866100380755,0.03996789355816615,False,False,0,False
R1,null,144,0.11052668878084933,0.060230004937623934,False,False,0,False
R1,null,145,0.14868320358385206,0.048643267431409586,False,False,0,False
R1,null,146,0.12117743303892127,0.08218967768840471,False,False,0,False
R1,null,147,0.12350121550410448,0.06106938313978424,False,False,0,False
R1,null,148,0.08942259444876742,0.04303445060933229,False,False,0,False
R1,null,149,0.1629895367106438,0.06548665655179477,False,False,0,False
R1,null,150,0.14335360165761318,0.09120046119823777,False,False,0,False
R1,null,151,0.15402696413792163,0.06479611241692186,False,False,0,False
R1,null,152,0.15307803634923767,0.07271783936864287,False,False,0,False
R1,null,153,0.15997885956533942,0.15997885956533942,False,False,0,False
R1,null,154,0.1261011491040767,0.09916383333083945,False,False,0,False
R1,null,155,0.12211751004519122,0.12211751004519122,False,False,0,False
R1,null,156,0.12106612507782573,0.054554194267968155,False,False,0,False
R1,null,157,0.15309340025575818,0.1344268710513936,False,False,0,False
R1,null,158,0.12062583212764527,0.08333553027336839,False,False,0,False
R1,null,159,0.1650827439465663,0.1650827439465663,False,False,0,False
R1,null,160,0.12172790579188729,0.0727212923492431,False,False,0,False
R1,null,161,0.1148294841168127,0.10043555144168569,False,False,0,False
R1,null,162,0.13148245317585186,0.03264473100706434,False,False,0,False
R1,null,163,0.1361516838228602,0.11899660497051977,False,False,0,False
R1,null,164,0.14196461743399713,0.0811479663326334,False,False,0,False
R1,null,165,0.16532449358612245,0.060095610466800085,False,False,0,False
R1,null,166,0.1272534724390229,0.026848687928622036,False,False,0,False
R1,null,167,0.1275664346616358,0.0808659390805066,False,False,0,False
R1,null,168,0.11362716873232369,0.07167840510252448,False,False,0,False
R1,null,169,0.13448816670302802,0.05737856456512632,False,False,0,False
R1,null,170,0.11648560069954542,0.11648560069954542,False,False,0,False
R1,null,171,0.17695914150572564,0.07338724511729391,False,False,1,False
R1,null,172,0.11650501988690076,0.06030372681485239,False,False,0,False
R1,null,173,0.13758473858321205,0.029369970572612876,False,False,0,False
R1,null,174,0.1302145881384847,0.05845063094996113,False,False,0,False
R1,null,175,0.1149256908693279,0.057204607384003396,False,False,0,False
R1,null,176,0.17062271025602851,0.11373720484244781,False,False,1,False
R1,null,177,0.12641005820168005,0.05390903449115873,False,False,0,False
R1,null,178,0.16808796618143432,0.1009357927759276,False,False,0,False
R1,null,179,0.13177151702503745,0.06047245358466828,False,False,0,False
R1,null,180,0.10575351337554005,0.06442670086725931,False,False,0,False
R1,null,181,0.11835480446222656,0.03078951856723316,False,False,0,False
R1,null,182,0.143351517389589,0.08166745890641998,False,False,0,False
R1,null,183,0.14241326123936865,0.046673555119920655,False,False,0,False
R1,null,184,0.11265248973339928,0.11093464211725836,False,False,0,False
R1,null,185,0.1323429327046384,0.1323429327046384,False,False,0,False
R1,null,186,0.12087396016461469,0.09199650181812291,False,False,0,False
R1,null,187,0.14921422036911217,0.07908828957413003,False,False,0,False
R1,null,188,0.16119025273044724,0.07488792059349501,False,False,0,False
R1,null,189,0.14251417222688942,0.08765830870131093,False,False,0,False
R1,null,190,0.13653823513758692,0.08167786393395572,False,False,0,False
R1,null,191,0.1701491129794551,0.08852743560363804,False,False,1,False
R1,null,192,0.15503208178713018,0.09425001891509063,False,False,0,False
R1,null,193,0.1434922801476041,0.08100227103484356,False,False,0,False
R1,null,194,0.11601519158495346,0.07189612485145591,False,False,0,False
R1,null,195,0.09165444459633147,0.06124867067436257,False,False,0,False
R1,null,196,0.14530363072331834,0.08671654610129828,False,False,0,False
R1,null,197,0.14380893987515275,0.06397195454635007,False,False,0,False
R1,null,198,0.1271721872767075,0.05265194717599644,False,False,0,False
R1,null,199,0.1828786961242747,0.04655399382470712,False,False,1,False
R1,null,200,0.11222787156372262,0.05824357002034783,False,False,0,False
R2,null,1,0.10045557187158939,0.06836441956314783,False,False,0,False
R2,null,2,0.12100649743737922,0.03847178835346232,False,False,0,False
R2,null,3,0.16316849190635244,0.08391692628882734,False,False,0,False
R2,null,4,0.12624669252093884,0.0999081163929851,False,False,0,False
R2,null,5,0.12729850466499207,0.08359274807339527,False,False,0,False
R2,null,6,0.10117889768406411,0.09804137271105504,False,False,0,False
R2,null,7,0.18449067218541415,0.059188817061776484,False,False,1,False
R2,null,8,0.10332881323522076,0.06771954264900183,False,False,0,False
R2,null,9,0.11901990222422396,0.09240904331007845,False,False,0,False
R2,null,10,0.1850871608632657,0.05733436440431202,False,False,2,False
R2,null,11,0.13188388801887685,0.08483249537368197,False,False,0,False
R2,null,12,0.15296093622477108,0.021695588929778117,False,False,0,False
R2,null,13,0.14181171346608407,0.07994771763502302,False,False,0,False
R2,null,14,0.1627241642768756,0.08883872141345343,False,False,0,False
R2,null,15,0.13445495436233756,0.08370026008448403,False,False,0,False
R2,null,16,0.14915999255629428,0.08714766001286299,False,False,0,False
R2,null,17,0.11429669389531953,0.0580250407857009,False,False,0,False
R2,null,18,0.12189251854942854,0.10318658914580027,False,False,0,False
R2,null,19,0.11519807482284046,0.11519807482284046,False,False,0,False
R2,null,20,0.13735348405294365,0.07515791229184578,False,False,0,False
R2,null,21,0.12000009035064801,0.08230911253407006,False,False,0,False
R2,null,22,0.10692801143239711,0.08155800020805928,False,False,0,False
