representation,condition,replicate,target_linear_score,target_nonlinear_score,target_combined_score,target_linear_p,target_nonlinear_p,target_combined_p,linear_any,nonlinear_any,combined_any,target_linear_localized,target_nonlinear_localized,target_combined_localized,combined_significant_pairs,broad_global_mode
R1,null,43,0.04905266008126515,0.0073465731647504055,0.04905266008126515,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,44,0.10154663052932839,0.012046602606165784,0.10154663052932839,0.958,0.887,0.958,False,False,False,False,False,False,0,False
R1,null,45,0.042219636551021254,0.00791897616445011,0.042219636551021254,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,46,0.08639117541506752,0.009870768646475788,0.08639117541506752,0.999,0.9895,0.999,False,False,False,False,False,False,0,False
R1,null,47,0.12351423758604375,0.0146030158939223,0.12351423758604375,0.659,0.6155,0.659,False,False,False,False,False,False,0,False
R1,null,48,0.07043885151965376,0.0057760397121052855,0.07043885151965376,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,49,0.10000504958464806,0.006689047754573909,0.10000504958464806,0.965,1.0,0.965,False,False,False,False,False,False,0,False
R1,null,50,0.10249848102542584,0.01367291905093546,0.10249848102542584,0.9515,0.7265,0.9515,False,False,False,False,False,False,0,False
R1,null,51,0.10874867311128433,0.015395805697874443,0.10874867311128433,0.8915,0.519,0.8915,False,False,False,False,False,False,0,False
R1,null,52,0.06831031727328789,0.01451352908407359,0.06831031727328789,1.0,0.624,1.0,False,False,False,False,False,False,0,False
R1,null,53,0.03776621781079551,0.0073926632385088046,0.03776621781079551,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,54,0.0778749858091981,0.010340918493443943,0.0778749858091981,1.0,0.979,1.0,False,False,False,False,False,False,0,False
R1,null,55,0.06695838789958979,0.015049319283047688,0.06695838789958979,1.0,0.5615,1.0,False,False,False,False,False,False,0,False
R1,null,56,0.11375738181129916,0.007293690162445469,0.11375738181129916,0.8285,1.0,0.8285,False,False,False,False,False,False,0,False
R1,null,57,0.06506629125384449,0.006342284948229022,0.06506629125384449,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,58,0.07329808207945387,0.007112912585773343,0.07329808207945387,1.0,1.0,1.0,False,True,False,False,False,False,0,False
R1,null,59,0.05687388702343103,0.0109219495685334,0.05687388702343103,1.0,0.9565,1.0,False,False,False,False,False,False,0,False
R1,null,60,0.05275294375193323,0.0035667081651784716,0.05275294375193323,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,61,0.0554046973377254,0.006331813662181406,0.0554046973377254,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,62,0.05322496414680039,0.004292343666675465,0.05322496414680039,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,63,0.0471079878156869,0.005134608788892174,0.0471079878156869,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,64,0.0670753282238595,0.007518199057690628,0.0670753282238595,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,65,0.049126954220625074,0.00487954946276552,0.049126954220625074,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,66,0.07163170862729958,0.006681063838396221,0.07163170862729958,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,67,0.09738706105060653,0.018685542369823616,0.09738706105060653,0.9755,0.2205,0.9755,False,True,False,False,False,False,0,False
R1,null,68,0.04869747745056465,0.0028530492307537662,0.04869747745056465,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,69,0.08299186930801154,0.009506495553710564,0.08299186930801154,0.9995,0.993,0.9995,True,True,True,False,False,False,1,False
