candidate,replicate,linear_max,nonlinear_max,combined_max
rff24,1,0.12884403426217686,0.015271409514036053,0.12884403426217686
rff64,1,0.12884403426217686,0.014283185757777157,0.12884403426217686
rff128,1,0.12884403426217686,0.013433021494748348,0.12884403426217686
ensemble4x32,1,0.12884403426217686,0.012168282685195441,0.12884403426217686
rff24,2,0.1314621023487609,0.018798818577740822,0.1314621023487609
rff64,2,0.1314621023487609,0.01753797288613281,0.1314621023487609
rff128,2,0.1314621023487609,0.018137865394785284,0.1314621023487609
ensemble4x32,2,0.1314621023487609,0.0185263491174956,0.1314621023487609
rff24,3,0.19179278257784724,0.01603874067826699,0.19179278257784724
rff64,3,0.19179278257784724,0.01587948548259857,0.19179278257784724
rff128,3,0.19179278257784724,0.014931833652430072,0.19179278257784724
ensemble4x32,3,0.19179278257784724,0.014229595877056928,0.19179278257784724
rff24,4,0.16191665837821076,0.011685695684279221,0.16191665837821076
rff64,4,0.16191665837821076,0.012617469265913773,0.16191665837821076
rff128,4,0.16191665837821076,0.012396872304449155,0.16191665837821076
ensemble4x32,4,0.16191665837821076,0.012445160494074884,0.16191665837821076
rff24,5,0.12958405193350148,0.011426973652076034,0.12958405193350148
rff64,5,0.12958405193350148,0.008884825949073107,0.12958405193350148
rff128,5,0.12958405193350148,0.00951461459012198,0.12958405193350148
ensemble4x32,5,0.12958405193350148,0.009274473598772202,0.12958405193350148
rff24,6,0.14666995098756946,0.014861974905979559,0.14666995098756946
rff64,6,0.14666995098756946,0.016063143487086252,0.14666995098756946
rff128,6,0.14666995098756946,0.017223215839170677,0.14666995098756946
ensemble4x32,6,0.14666995098756946,0.015241010598342273,0.14666995098756946
rff24,7,0.13856869198793711,0.013532966808706253,0.13856869198793711
rff64,7,0.13856869198793711,0.015206679836855391,0.13856869198793711
rff128,7,0.13856869198793711,0.013358195187256186,0.13856869198793711
ensemble4x32,7,0.13856869198793711,0.012514455927530036,0.13856869198793711
rff24,8,0.12481839806804543,0.016105339545314262,0.12481839806804543
rff64,8,0.12481839806804543,0.01688606585398414,0.12481839806804543
rff128,8,0.12481839806804543,0.017741029458609572,0.12481839806804543
ensemble4x32,8,0.12481839806804543,0.015757874774236964,0.12481839806804543
rff24,9,0.14765638230617467,0.013826238347073763,0.14765638230617467
rff64,9,0.14765638230617467,0.012792278921338935,0.14765638230617467
rff128,9,0.14765638230617467,0.012616255248399535,0.14765638230617467
ensemble4x32,9,0.14765638230617467,0.011914718080214388,0.14765638230617467
rff24,10,0.13121264691048282,0.015122431283135526,0.13121264691048282
rff64,10,0.13121264691048282,0.01479209373930613,0.13121264691048282
rff128,10,0.13121264691048282,0.013116729898153226,0.13121264691048282
ensemble4x32,10,0.13121264691048282,0.0135876432213311,0.13121264691048282
rff24,11,0.1612937018366339,0.01933794878853761,0.1612937018366339
rff64,11,0.1612937018366339,0.01655768355359391,0.1612937018366339
rff128,11,0.1612937018366339,0.019806935034780194,0.1612937018366339
ensemble4x32,11,0.1612937018366339,0.020428435883079594,0.1612937018366339
rff24,12,0.12250976598180642,0.01848459171845858,0.12250976598180642
rff64,12,0.12250976598180642,0.026757841862194712,0.12250976598180642
rff128,12,0.12250976598180642,0.022881138608742187,0.12250976598180642
ensemble4x32,12,0.12250976598180642,0.02261837498662508,0.12250976598180642
rff24,13,0.12051137059302866,0.017615735835216192,0.12051137059302866
rff64,13,0.12051137059302866,0.015115280684696744,0.12051137059302866
