candidate,condition,replicate,target_linear,target_nonlinear,target_combined,target_linear_p,target_nonlinear_p,target_combined_p,linear_max_p,nonlinear_max_p,combined_max_p
ensemble4x32,nonlinear_square,10,0.06545991529559252,0.09688041218625962,0.09688041218625962,1.0,0.0005,0.9835,0.792,0.0005,0.792
rff24,nonlinear_square,11,0.07700103019153134,0.11567014145470537,0.11567014145470537,1.0,0.0005,0.7955,0.8495,0.0005,0.7955
rff64,nonlinear_square,11,0.07700103019153134,0.06486066095445421,0.07700103019153134,1.0,0.0005,1.0,0.8495,0.0005,0.8495
rff128,nonlinear_square,11,0.07700103019153134,0.08705175051550766,0.08705175051550766,1.0,0.0005,0.999,0.8495,0.0005,0.8495
ensemble4x32,nonlinear_square,11,0.07700103019153134,0.10161142083157436,0.10161142083157436,1.0,0.0005,0.963,0.8495,0.0005,0.8495
rff24,nonlinear_square,12,0.0972734856356328,0.09394389359534164,0.0972734856356328,0.9835,0.0005,0.9835,0.352,0.0005,0.352
rff64,nonlinear_square,12,0.0972734856356328,0.0570356531822961,0.0972734856356328,0.9835,0.0005,0.9835,0.352,0.0005,0.352
rff128,nonlinear_square,12,0.0972734856356328,0.07433738635401055,0.0972734856356328,0.9835,0.0005,0.9835,0.352,0.0005,0.352
ensemble4x32,nonlinear_square,12,0.0972734856356328,0.0850971563147141,0.0972734856356328,0.9835,0.0005,0.9835,0.352,0.0005,0.352
rff24,nonlinear_square,13,0.062345565280432474,0.10055563816868006,0.10055563816868006,1.0,0.0005,0.9665,0.1665,0.0005,0.1665
rff64,nonlinear_square,13,0.062345565280432474,0.0610378573991789,0.062345565280432474,1.0,0.0005,1.0,0.1665,0.0005,0.1665
rff128,nonlinear_square,13,0.062345565280432474,0.07599472018544884,0.07599472018544884,1.0,0.0005,1.0,0.1665,0.0005,0.1665
ensemble4x32,nonlinear_square,13,0.062345565280432474,0.08858827775320267,0.08858827775320267,1.0,0.0005,0.9985,0.1665,0.0005,0.1665
rff24,nonlinear_square,14,0.11367977864805348,0.11986871546262863,0.11986871546262863,0.8275,0.0005,0.7285,0.049,0.0005,0.049
rff64,nonlinear_square,14,0.11367977864805348,0.07487938789500179,0.11367977864805348,0.8275,0.0005,0.8275,0.049,0.0005,0.049
rff128,nonlinear_square,14,0.11367977864805348,0.08735152332496651,0.11367977864805348,0.8275,0.0005,0.8275,0.049,0.0005,0.049
ensemble4x32,nonlinear_square,14,0.11367977864805348,0.10057166808231313,0.11367977864805348,0.8275,0.0005,0.8275,0.049,0.0005,0.049
rff24,nonlinear_square,15,0.0710516047788432,0.10386387342761096,0.10386387342761096,1.0,0.0005,0.9455,0.49,0.0005,0.49
rff64,nonlinear_square,15,0.0710516047788432,0.06289129372899684,0.0710516047788432,1.0,0.0005,1.0,0.49,0.0005,0.49
rff128,nonlinear_square,15,0.0710516047788432,0.07935212812991907,0.07935212812991907,1.0,0.0005,1.0,0.49,0.0005,0.49
ensemble4x32,nonlinear_square,15,0.0710516047788432,0.08830837907824067,0.08830837907824067,1.0,0.0005,0.9985,0.49,0.0005,0.49
rff24,nonlinear_square,16,0.0960178312361962,0.11486545780474978,0.11486545780474978,0.9855,0.0005,0.809,0.15,0.0005,0.15
rff64,nonlinear_square,16,0.0960178312361962,0.06953964661223376,0.0960178312361962,0.9855,0.0005,0.9855,0.15,0.0005,0.15
rff128,nonlinear_square,16,0.0960178312361962,0.0908561531265428,0.0960178312361962,0.9855,0.0005,0.9855,0.15,0.0005,0.15
ensemble4x32,nonlinear_square,16,0.0960178312361962,0.10277373840778997,0.10277373840778997,0.9855,0.0005,0.956,0.15,0.0005,0.15
rff24,nonlinear_square,17,0.06474724937457665,0.12200612627094413,0.12200612627094413,1.0,0.0005,0.6905,0.792,0.0005,0.6905
rff64,nonlinear_square,17,0.06474724937457665,0.07061966330334235,0.07061966330334235,1.0,0.0005,1.0,0.792,0.0005,0.792
